,RootFolder,File,RelativePath,DateTime,DeleteFlag,Identifier,Identifier2,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence,X,Identifier2.1,Identifier2.2
101,NE5,NE5A.second_rou.IMG_0015.MP4,NA, 2024-02-21 17:35:42,FALSE,NE5_EVENT30,NE5_EVENT30_A,A,L,NE5,1,NA,SM,NE5-SM2,shaggy tail,1,NA,NE5_EVENT30,A
102,NE5,NE5N.second_round.IMG_0010.MP4,NA, 2024-02-21 17:35:52,FALSE,NE5_EVENT30,NE5_EVENT30_W,W,L,NE5,1,NA,SM,NE5-SM2,shaggy tail,2,NA,NE5_EVENT30,W
103,NE5,NE5N.second_round.IMG_0011.MP4,NA, 2024-02-21 17:36:14,FALSE,NE5_EVENT30,NE5_EVENT30_W,W,L,NE5,1,NA,SM,NE5-SM2,shaggy tail,2,NA,NE5_EVENT30,W
104,NE5,NE5A.second_rou.IMG_0016.MP4,NA, 2024-02-22 13:58:22,FALSE,NE5_EVENT31,NE5_EVENT31_A,A,L,NE5,1,NA,SM,NE5-SM2,shaggy tail,0,NA,NE5_EVENT31,A
105,NE5,NE5N.second_round.IMG_0016.MP4,NA, 2024-02-22 15:58:22,FALSE,NE5_EVENT32,NE5_EVENT32_W,W,L,NE5,1,NA,SM,NE5-SM2,shaggy tail,0,NA,NE5_EVENT32,W
106,NE5,NE5A.second_rou.IMG_0027.MP4,NA, 2024-02-24 08:29:08,FALSE,NE5_EVENT33,NE5_EVENT33_A,A,L,NE5,1,NA,SM,NE5-SM1,N,0,NA,NE5_EVENT33,A
107,NE5,NE5A.second_rou.IMG_0028.MP4,NA, 2024-02-24 08:29:36,FALSE,NE5_EVENT33,NE5_EVENT33_A,A,L,NE5,1,NA,SM,NE5-SM1,N,0,NA,NE5_EVENT33,A
108,NE6,NE6N.IMG_0077.MP4,NA, 2024-02-11 13:37:53,FALSE,NE6_EVENT1,NE6_EVENT1_W,W,L,NE6,1,NA,F,NE6-F1,a bit scruffy,0,NA,NE6_EVENT1,W
109,NE6,NE6N.IMG_0116.MP4,NA, 2024-02-17 22:13:54,FALSE,NE6_EVENT2,NE6_EVENT2_W,W,D,NE6,1,NA,SF,NE6-SF1,mange,0,NA,NE6_EVENT2,W
110,NE6,NE6N.IMG_0117.MP4,NA, 2024-02-17 22:13:58,FALSE,NE6_EVENT2,NE6_EVENT2_W,W,D,NE6,1,NA,SF,NE6-SF1,mange,0,NA,NE6_EVENT2,W
111,NE6,NE6N.IMG_0118.MP4,NA, 2024-02-17 22:14:02,FALSE,NE6_EVENT2,NE6_EVENT2_W,W,D,NE6,1,NA,SF,NE6-SF1,mange,0,NA,NE6_EVENT2,W
112,NE6,NE6N.IMG_0119.MP4,NA, 2024-02-17 22:14:04,FALSE,NE6_EVENT2,NE6_EVENT2_W,W,D,NE6,1,NA,SF,NE6-SF1,mange,0,NA,NE6_EVENT2,W
113,NE6,NE6N.IMG_0120.MP4,NA, 2024-02-17 22:14:06,FALSE,NE6_EVENT2,NE6_EVENT2_W,W,D,NE6,1,NA,SF,NE6-SF1,mange,0,NA,NE6_EVENT2,W
114,NE6,NE6N.IMG_0121.MP4,NA, 2024-02-17 22:14:08,FALSE,NE6_EVENT2,NE6_EVENT2_W,W,D,NE6,1,NA,SF,NE6-SF1,mange,0,NA,NE6_EVENT2,W
115,NE6,NE6N.IMG_0122.MP4,NA, 2024-02-17 22:14:12,FALSE,NE6_EVENT2,NE6_EVENT2_W,W,D,NE6,1,NA,SF,NE6-SF1,mange,0,NA,NE6_EVENT2,W
116,NE6,NE6N.IMG_0123.MP4,NA, 2024-02-17 22:14:14,FALSE,NE6_EVENT2,NE6_EVENT2_W,W,D,NE6,1,NA,SF,NE6-SF1,mange,0,NA,NE6_EVENT2,W
